t,sample_count_sim,sample_count_real,kl_mean,w1_mean,mmd_statistic,mmd_p_value,mmd_threshold,w1_threshold,shift_detected,shift_detected_w1,detection_method
0.0,0,0,0.0,0.0,0.0,0.0,0.05,0.08,False,False,none
0.099832,7,7,0.0,0.0,0.0,0.0,0.05,0.08,False,False,none
0.199809,17,17,0.0,0.0,0.0,0.0,0.05,0.08,False,False,none
0.299773,27,27,0.0,0.0,0.0,0.0,0.05,0.08,False,False,none
0.399838,37,37,0.0,0.0,0.0,0.0,0.05,0.08,False,False,none
0.499734,47,47,0.0,0.0,0.0,0.0,0.05,0.08,False,False,none
0.599821,57,57,0.0,0.0,0.003823908053126601,1.0,0.05,0.08,False,False,none
0.700171,67,67,0.0,0.0,0.006753666049499785,0.7843137254901961,0.05,0.08,False,False,none
0.800299,77,77,0.0,0.0,0.01328419627768973,0.35294117647058826,0.05,0.08,False,False,none
0.899827,87,87,0.0,0.0,0.02029679497155934,0.0784313725490196,0.05,0.08,False,False,none
0.999834,97,97,0.0,0.0,0.020094009649666456,0.058823529411764705,0.05,0.08,False,False,none
1.09985,107,107,0.0,0.0,0.019824222106091804,0.058823529411764705,0.05,0.08,False,False,none
1.199802,117,117,0.0,0.0,0.020304761685718153,0.058823529411764705,0.05,0.08,False,False,none
1.299985,127,127,0.0,0.0,0.02058346019923296,0.0392156862745098,0.05,0.08,False,False,none
1.399832,137,137,0.0,0.0,0.02073243618388987,0.0392156862745098,0.05,0.08,False,False,none
1.499934,147,147,0.0,0.0,0.020914729353374684,0.0196078431372549,0.05,0.08,False,False,none
1.599792,157,157,0.0,0.0,0.021103147084403195,0.0196078431372549,0.05,0.08,False,False,none
1.70016,167,167,0.0,0.0,0.02124436705039323,0.0196078431372549,0.05,0.08,False,False,none
1.800099,177,177,0.0,0.0,0.021403804253208092,0.0196078431372549,0.05,0.08,False,False,none
1.900192,187,187,0.0,0.0,0.021629282721006504,0.0196078431372549,0.05,0.08,False,False,none
2.000141,197,197,0.0,0.0,0.021585158078889055,0.0196078431372549,0.05,0.08,False,False,none
2.099877,207,207,0.0,0.0,0.02176960521927973,0.0196078431372549,0.05,0.08,False,False,none
2.200233,217,217,0.0,0.0,0.0219017570639779,0.0196078431372549,0.05,0.08,False,False,none
2.300007,227,227,0.0,0.0,0.022004009655270718,0.0196078431372549,0.05,0.08,False,False,none
2.399751,237,237,0.0,0.0,0.02218047736027917,0.0196078431372549,0.05,0.08,False,False,none
2.499754,247,247,0.0,0.0,0.02221144738466041,0.0196078431372549,0.05,0.08,False,False,none
2.599749,257,257,0.0,0.0,0.02227050541923692,0.0196078431372549,0.05,0.08,False,False,none
2.699705,267,267,0.0,0.0,0.022402415805720777,0.0196078431372549,0.05,0.08,False,False,none
2.7997,277,277,0.0,0.0,0.022531377559179333,0.0196078431372549,0.05,0.08,False,False,none
2.899729,287,287,0.0,0.0,0.02250036211158246,0.0196078431372549,0.05,0.08,False,False,none
2.999762,297,297,0.0,0.0,0.022100035582569344,0.0196078431372549,0.05,0.08,False,False,none
3.099966,307,307,0.0,0.0,0.02144735905230566,0.0196078431372549,0.05,0.08,False,False,none
3.199726,317,317,0.0,0.0,0.020899743537005744,0.058823529411764705,0.05,0.08,False,False,none
3.299804,327,327,0.0,0.0,0.020310307039125064,0.0392156862745098,0.05,0.08,False,False,none
3.399749,337,337,0.0,0.0,0.01960325343070113,0.13725490196078433,0.05,0.08,False,False,none
3.499926,347,347,0.0,0.0,0.019358430046369612,0.09803921568627451,0.05,0.08,False,False,none
3.599855,357,357,0.0,0.0,0.01873361746020019,0.13725490196078433,0.05,0.08,False,False,none
3.700079,367,367,0.0,0.0,0.018720047293638187,0.09803921568627451,0.05,0.08,False,False,none
3.799906,377,377,0.0,0.0,0.0087972506218843,0.39215686274509803,0.05,0.08,False,False,none
3.899886,387,387,0.0,0.0,0.007840972836347326,0.5098039215686274,0.05,0.08,False,False,none
3.999731,397,397,0.0,0.0,0.007180685040915291,0.6078431372549019,0.05,0.08,False,False,none
4.099985,407,407,0.0,0.0,0.006728560486555013,0.6078431372549019,0.05,0.08,False,False,none
4.199986,417,417,0.0,0.0,0.006280270183204095,0.6862745098039216,0.05,0.08,False,False,none
4.30001,427,427,0.0,0.0,0.0017245928471334437,1.0,0.05,0.08,False,False,none
4.399995,437,437,0.0,0.0,0.0004745376913128929,1.0,0.05,0.08,False,False,none
4.499907,447,447,0.0,0.0,0.0002124729839239059,1.0,0.05,0.08,False,False,none
4.600014,457,457,0.0,0.0,0.00013612998903544948,1.0,0.05,0.08,False,False,none
4.699713,467,467,0.0,0.0,0.00028728229855690124,0.9803921568627451,0.05,0.08,False,False,none
4.799732,477,477,0.0,0.0,0.0001178598984976631,1.0,0.05,0.08,False,False,none
4.899891,487,487,0.0,0.0,0.00010876157308370438,1.0,0.05,0.08,False,False,none
4.999722,497,497,0.0,0.0,6.317933122268471e-05,1.0,0.05,0.08,False,False,none
5.099761,500,500,0.0,0.0,9.461156809731364e-05,1.0,0.05,0.08,False,False,none
5.199868,500,500,0.0,0.0,9.461156117596126e-05,1.0,0.05,0.08,False,False,none
5.299855,500,500,0.0,0.0,9.461155479395522e-05,1.0,0.05,0.08,False,False,none
5.399601,500,500,0.0,0.0,9.461154948042783e-05,1.0,0.05,0.08,False,False,none
5.499839,500,500,0.0,0.0,0.00016286837505230523,0.9803921568627451,0.05,0.08,False,False,none
5.599869,500,500,0.0,0.0,9.342495078956681e-05,1.0,0.05,0.08,False,False,none
5.699851,500,500,0.0,0.0,0.0001506172698850783,1.0,0.05,0.08,False,False,none
5.80029,500,500,0.0,0.0,9.385610820267232e-05,1.0,0.05,0.08,False,False,none
5.899737,500,500,0.0,0.0,0.00010252849827629973,1.0,0.05,0.08,False,False,none
5.99983,500,500,0.0,0.0,0.00010258522074635401,1.0,0.05,0.08,False,False,none
6.099766,500,500,0.0,0.0,0.00010258861189482715,1.0,0.05,0.08,False,False,none
6.199908,500,500,0.0,0.0,0.0001025888675536546,1.0,0.05,0.08,False,False,none
6.299669,500,500,0.0,0.0,0.00010258888315273218,1.0,0.05,0.08,False,False,none
6.400296,500,500,0.0,0.0,0.00010258887966085872,1.0,0.05,0.08,False,False,none
6.499799,500,500,0.0,0.0,0.00010258887464664745,1.0,0.05,0.08,False,False,none
6.599925,500,500,0.0,0.0,0.00010258886951119983,1.0,0.05,0.08,False,False,none
6.699702,500,500,0.0,0.0,0.00024425599579913637,1.0,0.05,0.08,False,False,none
6.799699,500,500,0.0,0.0,0.00012439067579417262,1.0,0.05,0.08,False,False,none
6.899727,500,500,0.0,0.0,0.0005596176775319872,1.0,0.05,0.08,False,False,none
6.999722,500,500,0.0,0.0,0.0014420223062543425,1.0,0.05,0.08,False,False,none
7.099779,500,500,0.0,0.0,0.00219518520847628,0.9215686274509803,0.05,0.08,False,False,none
7.199609,500,500,0.0,0.0,0.004021873660811748,0.7058823529411765,0.05,0.08,False,False,none
7.300258,500,500,0.0,0.0,0.004752078265673587,0.7058823529411765,0.05,0.08,False,False,none
7.399713,500,500,0.0,0.0,0.013170021003280352,0.1568627450980392,0.05,0.08,False,False,none
7.499862,500,500,0.0,0.0,0.11189440722650135,0.0196078431372549,0.005,0.01,True,False,mmd
7.59985,500,500,0.0,0.0,0.1464240650073585,0.0196078431372549,0.005,0.01,True,False,mmd
7.699743,500,500,0.0,0.0,0.15938603929185047,0.0196078431372549,0.005,0.01,True,False,mmd
7.799723,500,500,0.0,0.0,0.1742133915632329,0.0196078431372549,0.005,0.01,True,False,mmd
7.89963,500,500,0.014758233927854936,7.222373420919022e-05,0.19003783678340436,0.0196078431372549,0.005,0.01,True,False,mmd
8.000224,500,500,0.2544496571126384,0.004836821660159724,0.2064559494798759,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.099764,500,500,0.4847430291837491,0.006983126561887594,0.21921005458827403,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.199934,500,500,0.5635921229737304,0.007533274378829285,0.23918584450696345,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.299857,500,500,0.6257850570938668,0.008365504088358396,0.2583812467902573,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.399696,500,500,0.9198038531611307,0.008518972805824502,0.2787885005030719,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.499712,500,500,1.068997212873612,0.008533975906380064,0.30033081002757145,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.599698,500,500,1.068997212873612,0.008533975906380064,0.32228082642898337,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.699579,500,500,1.068997212873612,0.008533975906380064,0.32934629580034613,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.799698,500,500,1.068997212873612,0.008533975906380064,0.3356434934970671,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.899618,500,500,1.068997212873612,0.008533975906380064,0.32476051908593373,0.0196078431372549,0.005,0.01,True,False,kl+mmd
8.999848,500,500,1.068997212873612,0.008533975906380064,0.3108111869014427,0.0196078431372549,0.005,0.01,True,False,kl+mmd
9.099616,500,500,1.068997212873612,0.008533975906380064,0.29717240041755955,0.0196078431372549,0.005,0.01,True,False,kl+mmd
